 1/2017	 13/01/2017	 14/02/2017	 Vereador	 	»»CLAIMAR CESAR DE CONTO 	Aprovada	 O(s) Signatário(s) da presente, Vereador (es) com assento Neste Legislativo, nos termos do Art. 124-A do regimento interno, solicita(m) a Vossa Excelência que submeta esta ao Plenário, e se aprovada, se envie MOÇÃO DE APELO, ao Excelentíssimo Senhor RICARDO JOSÉ MAGALHÃES BARROS - MINISTRO DA SAÚDE. Considerando que a área de urgência e emergência constitui-se em um importante componente de assistência a saúde, solicitamos a doação de uma ambulância para o município de CHAPECÓ-SC, a mesma será utilizada no SAMU (Serviço Atendimento Móvel de Urgência). O Estado do Rio De Janeiro devolveu ao Ministério da Saúde as ambulâncias utilizadas durante a realização das Olimpíadas Rio 2016, caberá a Coordenação Nacional de Urgência e Emergência a responsabilidade da destinação dos veículos. Chapecó possui mais de 200 mil habitantes e conta com duas USB´s (Unidade Suporte Básico), as mesma foram doadas ao município no ano de 2012 e possuem quilometragem elevada e frequentemente precisam ser desativadas por problemas mecânicos. Desta forma, se faz presente a MOÇÃO DE APELO, para que seja feita a doação para SUBSTITUIR uma das ambulância, com o objetivo de garantir a prestação deste serviço, que é essencial e decisivo quando se trata da vida das pessoas. Diante disso, solicito o apoio dos nobres vereadores para aprovação da presente moção. 
 2/2017	 17/01/2017	 02/02/2018	 Vereador	 	»»CLEITON MARCIO FOSSÁ 	Retirada	 O(s) Signatário(s) da presente, Vereador(es) com assento Neste Legislativo, nos termos do Art. 124-A do Regimento Interno, solicita(m) que Vossa Excelência submeta ao Plenário Desta Casa, e se aprovada, se envie MOÇÃO DE APELO ao Senhor LUCIANO JOSÉ BULIGON, Prefeito Municipal de Chapecó. A implantação de um Distrito Industrial na grande região do São Pedro é proposta que vem sendo discutida no legislativo chapecoense já há algum tempo, tendo por objetivo de viabilizar políticas públicas de geração de emprego, crescimento econômico e inclusão social na região leste da cidade. A implantação do distrito na supracitada região beneficiaria diretamente moradores dos Bairros São Pedro, Bom Pastor, Boa Vista e Paraíso, locais em que é notória a falta de políticas públicas em geral, fomentando o seu desenvolvimento econômico e social. São por essas razões que se faz a presente MOÇÃO DE APELO, para que sejam tomadas todas as medidas e iniciativas necessárias para a instalação de um Distrito Industrial no Bairro São Pedro, no intuito de fomentar o desenvolvimento econômico e social e melhores condições de vida para a região, solicitando, com o máximo respeito, depois de ouvido os Nobres Vereadores em Plenário, seja votada favorável. 
 3/2017	 19/01/2017	 15/02/2017	 Vereador	 	»»CLEITON MARCIO FOSSÁ 	Aprovada	 O(s) Signatário(s) da presente, Vereador(es) com assento Neste Legislativo, nos termos do Art. 124-A do Regimento Interno, solicita(m) que Vossa Excelência submeta ao Plenário desta Casa, e se aprovada, se envie MOÇÃO DE APELO ao Senhor LUCIANO JOSÉ BULIGON, Prefeito de Chapecó. A implantação de um distrito industrial na grande região do São Pedro é proposta que vem sendo discutida no legislativo chapecoense já há algum tempo, tendo por objetivo de viabilizar políticas públicas de geração de emprego, crescimento econômico e inclusão social na região leste da cidade. A implantação do distrito na supracitada região beneficiaria diretamente moradores dos bairros São Pedro, Bom Pastor, Boa Vista e Paraíso, locais em que é notória a falta de políticas públicas em geral, fomentando assim o seu desenvolvimento econômico e social. Na data de 29/10/2015, inclusive, nesta Câmara de Vereadores, ocorreu a Audiência Pública proveniente da aprovação do Requerimento 284/2015, cujo objetivo era discutir a proposta de implantação do distrito. Estiveram presentes o vereador proponente, a Deputada Estadual Luciane Carminatti, os Vereadores Cleber Ceccon e Marcilei Vignatti, o Representante da ACIC, CDL e SICOM o Senhor Elio Cella, a Presidente do Sindicato dos Trabalhadores em Estabelecimentos de Serviços de Saúde de Chapecó e Região – Sitessch a Senhora Maria Salete Cross, o Representante da Associação dos Micros e Pequenos Empresários Empreendedores Individuais – AMPER o Senhor Jacir Carlos Aver, o Presidente da Associação de Moradores do Bairro São Pedro o Senhor Sidinei Miranda, a Representante da Região Pastoral Nordeste a Senhora Noêmia Debastiani, o Presidente da União das Associações de Moradores de Chapecó – Unichap o Senhor Elso de Almeida, e o Representante da Associação de Moradores do Bairro São Pedro, o Senhor Darci Barp. O debate foi proveitoso, tendo restado como consenso de todas as lideranças presentes o fato de que a proposta é viável e totalmente benéfica, especialmente em razão de que a instauração do distrito fomentará a economia na região onde futuramente passará o contorno viário leste, facilitando a logística para as empresas. Na oportunidade, inclusive, o atual Vice-Prefeito de Chapecó, Senhor Elio Cella, que ali estava representando a ACIC, CDL e SICOM, afirmou ver com bons olhos a proposta. São por essas razões que se faz a presente MOÇÃO DE APELO, para que sejam tomadas todas as medidas e iniciativas necessárias para a instalação de um Distrito Industrial no Bairro São Pedro, no intuito de fomentar o desenvolvimento econômico e social e melhores condições de vida para a região, solicitando, com o máximo respeito, depois de ouvido os Nobres Vereadores em Plenário, seja votada favorável. 
 4/2017	 23/01/2017	 13/02/2017	 Vereador	 	»»ITAMAR ANTONIO AGNOLETTO 	Aprovada	 O(s) Signatário(s) da presente, Vereador (es) com assento Neste Legislativo, nos termos do Art. 124-A do regimento interno, solicita(m) a Vossa Excelência que submeta esta ao Plenário, e se aprovada, se envie MOÇÃO DE APELO, Ao Excelentíssimo Senhor JOÃO RAIMUNDO COLOMBO - Governador do Estado de Santa Catarina, ao Excelentíssimo Senhor Coronel PAULO HENRIQUE HEMM, Comandante Geral da Polícia Militar de Santa Catarina, ao Senhor EDUARDO DE SCHAMPS, Secretário Estadual de Educação, para que seja feito um estudo para a implantação de um Colégio Militar, na cidade de Chapecó. Sabe-se que o sistema militar de ensino vem se expandindo em todo o Brasil, inclusive onde há este tipo de ensino, existe lista de espera. Importante salientar, que as escolas fazem um trabalho de prevenção contra o tráfico e violência, onde o respeito, disciplina, cidadania são fatores primordiais e isso acaba atraindo um número expressivo de alunos. Outro fator positivo, é o desempenho dos alunos que supera a cada ano as expectativas dos educadores, pais e dos próprios alunos. Termos em que pede deferimento. 
 5/2017	 09/02/2017	 11/05/2017	 Vereador	 	»»MARCILEI ANDREA P. VIGNATTI CLEBER CECCON 	Aprovada	 O(s) Signatários(s) da presente, Vereador(es) com assento Neste Legislativo, nos termos do Art. 124 - A do Regimento Interno, solicita(m) a Vossa Excelência que submeta este ao Plenário, e se aprovada, se envie, ao Excelentíssimo Senhor RODRIGO MAIA - Presidente da Câmara dos Deputados, ao Excelentíssimo Senhor EUNÍCIO OLIVEIRA - Presidente do Senado Federal, e ao Excelentíssimo Senhor MICHEL TEMER - Presidente da República – MOÇÃO DE REPÚDIO à Proposta de Emenda à Constituição (PEC) Nº 287/2016 que estabelece a Reforma da Previdência. Tramita no Congresso Nacional a Proposta de Emenda à Constituição (PEC) Nº 287/2016, de autoria do atual governo, que “Altera os arts. 37, 40, 109, 149, 167, 195, 201 e 203 da Constituição, para dispor sobre a seguridade social, estabelece regras de transição e dá outras providências”. A PEC estabelece, portando, a Reforma da Previdência e, se aprovada, penalizará a grande maioria da população brasileira, pois criará mecanismos drásticos que pretendem somar tempo de serviço e idade, o que praticamente inviabilizará a obtenção da aposentadoria. Além disso, a PEC em questão suprime regras atuais de aposentadoria para todos os trabalhadores e trabalhadoras que ainda não chegaram aos 50 e 45 anos respectivamente, e também para todos (as) que ainda vão entrar no mercado de trabalho e começar a contribuir com a Previdência Social. A proposta estabelece que os trabalhadores e trabalhadoras que já chegaram às idades de 50 e 45 anos, respectivamente, serão obrigados a pagar um pedágio de 50% (cinquenta por cento) de tempo a trabalhar em relação ao tempo que ainda faltaria para se aposentar. A referida PEC extingue as regras atuais para trabalhadores e trabalhadoras do magistério, para todas as trabalhadoras de qualquer categoria e para trabalhadores e trabalhadoras rurais. Ressaltamos que o atual Governo Federal fala em déficit da Previdência Social, mas não permite a realização de uma auditoria por entidades especializadas da sociedade civil, nem realiza a exceção fiscal dos grandes devedores da previdência. Portanto, se tal PEC for aprovada, será o fim da previdência pública e solidária e nós, vereadores e representantes do povo, não podemos aceitar e nos calar diante do fato. 
 6/2017	 10/02/2017	 15/02/2017	 Vereador	 	»»CLEITON MARCIO FOSSÁ 	Aprovada 	
 7/2017	 10/02/2017	 15/02/2017	 Vereador	 	»»CLEITON MARCIO FOSSÁ 	Aprovada 	
 8/2017	 10/02/2017	 15/02/2017	 Vereador	 	»»CLEITON MARCIO FOSSÁ 	Aprovada 	
 9/2017	 13/02/2017	 16/02/2017	 Vereador	 	»»CLEITON MARCIO FOSSÁ 	Aprovada	 O(s) Signatário(s) da presente, Vereador(es) com assento Neste Legislativo, nos termos do Art. 124-A do Regimento Interno, solicita(m) que Vossa Excelência submeta ao Plenário desta Casa, e se aprovada, se envie MOÇÃO DE APELO ao Prefeito Municipal de Chapecó, LUCIANO JOSÉ BULIGON. Sabe-se que o Bairro Efapi é o maior bairro da Cidade de Chapecó, aproximando atualmente o número de 50 mil habitantes. Fosse ele um município, seria o segundo maior município do oeste do Estado. Encontra-se em constante expansão, mas em local relativamente afastado de qualquer outra região da cidade, carecendo consequentemente de maior proximidade de serviços públicos nas mais diversas áreas, dentre elas a de segurança pública. Por seu tamanho e distância das demais regiões da cidade, o Bairro Efapi merece uma atenção especial do setor da segurança pública. Contudo, conta com um espaço precário, onde apenas se encaminha documentos por meio de departamento do DETRAN. Não possui uma delegacia própria e com o respectivo efetivo, não sendo portanto o ideal considerando a grandiosidade da região. O Bairro portanto carece de uma estrutura própria da Polícia Civil, consistente em delegacia e efetivo proporcionais às exigências da região. Tendo em vista esse cenário, na data de 30/01/2017 este Vereador reuniu-se com o Delegado Geral da Polícia Civil, o Sr. Artur Nitz, em Florianópolis, para não só encaminhar a problemática da região Efapi, como também apresentar dados do cenário chapecoense e pugnar por maior efetivo e uma estrutura mais adequada para investigação de homicídios em Chapecó, apresentando este Vereador o Ofício 04/2017, em que se pontua todas essas solicitações. Na oportunidade, o Sr. Delegado Geral informou que, com os chamados do novo concurso público, mais 13 (treze) novos agentes virão para Chapecó. Afirmou também que por parte da Polícia Civil não haveria problema algum em fazer parceria com a Prefeitura de Chapecó, em comunhão de esforços e verbas para trazer uma delegacia própria para a região do Bairro Efapi. Por conseguinte, na data de 10/02/2017, este vereador se reuniu com o Delegado Regional Wagner Valdivino Meirelles, que possuía, conforme informações do Sr. Delegado Geral, informações mais pormenorizadas acerca da disponibilidade de efetivo para uma possível estrutura no Bairro Efapi, feita em parceria. O Sr. Wagner Meirelles, por sua vez, informou que atualmente já há disponibilidade de um delegado, um escrivão e três agentes para a delegacia própria do Bairro Efapi, o que, na sua visão, longe de ser um número adequado para atender a região, pode ser melhorado com a disponibilização de dois estagiários por parte do Município. Por parte da Polícia Civil portanto inexiste qualquer empecilho para fazer uma parceria com Chapecó para a instalação de uma Delegacia no Bairro Efapi, sendo que aguardam posicionamento e iniciativa do Município para tanto, tendo inclusive já disponibilizado o efetivo. Já houve por parte da Municipalidade iniciativas para a instalação da Delegacia com contrapartida do Município, limitada ao aluguel de um espaço naquela região. Contudo, em razão inclusive da limitação de verba, os espaços encontrados não se mostraram adequados, e, desde então, não houve mais qualquer outra iniciativa de nenhum ente municipal. O ideal para o Bairro Efapi é uma estrutura própria da Delegacia de Polícia Civil, em propriedade pública que pode ser construída com recursos mesclados, seja proveniente de emendas parlamentares, do Município, da própria Polícia Civil, ou de qualquer outra esfera de governo. Sabe-se contudo que até se chegar ao imóvel ideal e à construção, demanda-se tempo e a situação do Bairro Efapi não pode esperar. São por essas razões que este vereador elenca a doação de imóvel pela municipalidade e a respectiva construção da delegacia como medida ideal, mas a ser executada a longo prazo, necessitando o Efapi de medida urgente e a curto prazo. Para fins de medidas a serem cumpridas a curto prazo, mencionou-se que a estrutura da Subprefeitura no Bairro Efapi, na parte inferior do prédio, poderia ser um bom local provisório para deslocar o efetivo, que, frisa-se, já se encontra disponível de imediato pela Polícia Civil. Apenas falta o espaço, e dois estagiários! Desta forma, considerando a necessidade de reabertura da Delegacia de Polícia Civil do Bairro Efapi, se faz a presente MOÇÃO DE APELO, para que sejam tomadas todas as medidas e esforços possíveis, no sentido de se dialogar com a Polícia Civil acerca da possibilidade de disponibilização de terreno e pessoal por parte do Município, como medida a longo prazo, bem como, seja disponibilizado espaço na subprefeitura no Efapi para fins de medida necessária e a curto prazo, tudo conforme supracitado, solicitando, com o máximo respeito, depois de ouvido os Nobres Vereadores em Plenário, seja votada favorável. 
 10/2017	 13/02/2017	 15/02/2017	 Vereador	 	»»ASTRIT MARIA SAVARIS TOZZO 	Aprovada 	
 11/2017	 14/02/2017	 21/02/2017	 Vereador	 	»»IVALDO PIZZINATTO 	Aprovada 	
